,,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
,Ugzh49UTg1CwfRG57Wd4AaABAg,Brian McDonald,2 weeks ago,1.51198E+12,"Cenk,  Partisanship is the real problem. Tribal politics, that you seem to be a big fan of, is destroying our republic. What we need is a third party, a moderate party. One that does not have a mantra of not compromising. A viable third party would go a long way to eliminate 1 party rule. There are plenty of moderate dems and repubs to make this work. They are marginalized as both Democratic party and the Republican party move to the fringes of their respective party.  I agree on some of your criticism, but you are missing the bigger picture. As long as we have a 2 party system, neither party will be seriously interested in legislating against political contributions.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.497,Worry,0.273
,Ugy3YjKteCRKQDQLtZ14AaABAg,Tom Tompkins,2 weeks ago,1.51198E+12,Take youre money and go home,0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.579,Anger,0.231
,Ugy6MM5d21Un0ttelnt4AaABAg,Josh Davis,2 weeks ago,1.51198E+12,"I would support if I could. Or rather, I will support when I can. Thank you Cenk",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.372,Worry,0.282
,Ugw9WfhYSc2QwHCjaU14AaABAg,Kevin Alonso,3 weeks ago,1.51138E+12,Thanks for this video guys!,0,FALSE,0,,,,,,,/Positive/Happiness/,Positive,0.621,Happiness,0.334
,UgxlEGy-0I7hpoyjPIt4AaABAg,Kevin Alonso,3 weeks ago,1.51138E+12,"I wish all Americans could watch this video, your country is in the hands of very few billionaires and CEOs, social issues like guns, religion, immigration,... have their importance but they�۪re being used by both parties as distractions so that they don�۪t have to talk about economics because the leadership of both parties is completely bought.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.516,Worry,0.28
,UgwqFwfj-fFOWwGPSHt4AaABAg,Crazy Horse,3 weeks ago,1.51138E+12,"As if they don't already have way more than they'll ever need, they go at lengths to get more. Just as a reminder, these people are not what the average person is like. Don't be disheartened. These sorts of people are the scourge we can get rid of. Also, don't ever look up to these people and think this is normal, acceptable human behavior. Stay classy, my friends.",0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.647,Anger,0.239
,UgwA9J6NJRqQyQ0nlqp4AaABAg,nafets zlaw,3 weeks ago,1.51138E+12,Stephen Cloobeck  should get a clue and realize he is a REPUBLICAN & a DOUCHEBAG.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.38,Worry,0.233
,Ugyq415iV9HTqlACsQN4AaABAg,Michael Tilrico,3 weeks ago,1.51138E+12,Noone going to say anything about that kickass raccoon tan.  :),0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.357,Surprise,0.625
,UgysFxCk9MT59wx_PNR4AaABAg,robert edmistonii,3 weeks ago,1.51138E+12,"If all the rest of us are poor, who is going to buy their overpriced stuff?  Isn't there enough of a dichotomy and economic slavery already?  That guy is totally insulated, isolated and full of malicious denial.",0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.734,Anger,0.261
,UgwXhI2mL6xSfiKiTH54AaABAg,Ymr Bleav,3 weeks ago,1.51138E+12,This donor is a lowlife! At least we know who he has in his pocket!!!,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.452,Surprise,0.902
,UgzpEHrrAPohJkm-lXV4AaABAg,Hank Chinaski,3 weeks ago,1.51138E+12,Cenk is a big phony THE GUY PRACTICALLY CRIED ON ELECTION NIGHT WHEN HILLARY AND THE REST OF THE DNC GOONS LOST.,0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.7,Anger,0.268
,UgxiP0wi3eiammBmmOh4AaABAg,hermenutic,3 weeks ago,1.51138E+12,"Your job as I see it is to convince the electorate that whatever the Democrats or Republicans say is to be regarded as untrustworthy.  This report  certainly indicates the extent of the bought and paid for condition of the political parties.They use the money to buy ads to lie to people to get their vote.  Your job is to nullify the effect of the money by reeducating the voter class. Your job is to make the Democrats and Republicans appear to be the servants of capital which is what they claim to be. It won't be a difficult job.  Your job is to convince the voter to ignore the major political parties for obvious reasons.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.505,Worry,0.233
,UgytBQ5j6CgwUx_Mw554AaABAg,Rafael Camilo,3 weeks ago,1.51138E+12,"Democratic System not Capitalism system, only us that have done well deserve, you stupid middle class are our slave, go to work stupid ass.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.714,Hate,0.286
,UgzjRumaWQsfhSwnllF4AaABAg,jim bob,3 weeks ago,1.51138E+12,"This guy just openly admitted to quid pro quo bribery and collusion to undermine democracy, he should be jailed for this immediately. It has been ok for them to get away with this for so long that now he's demanding results for his bribery money publicly, threatening every official in the party, that's quite a bit different from making legal campaign contributions. He just crossed the line to a serious felony which should be prosecuted without mercy, if we had a just system which clearly we don't.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.459,Hate,0.239
,UgxP7NqV8j5u22isYTx4AaABAg,smokey bear,3 weeks ago,1.51138E+12,All it says to the world is the American Government is for sale............,1,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.528,Hate,0.266
,UgxaXCfw1QJSYxGzH5l4AaABAg,Gary Gans,3 weeks ago,1.51138E+12,"Hey Stephen Cloobeck, Go F*ck Yourself! I'm sick of pricks like this one, some crony Capitalist that doesn't care about Human Rights or Liveable Wages. He doesn't want Medicaid for all or the ACA. He's out for himself and his buddies, with the Donna Braziles and the $1 Billion Campaigns just for the Presidency where advertisements that talk sh*t with useless slogans that deliver nothing in return.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.575,Hate,0.215
,UgzLmt0DVeFpVhsCWRF4AaABAg,Liza Ramos,3 weeks ago,1.51138E+12,Why does this guys lungs sound constipated? His mouth is so mad at his face it�۪s to tired to make actual  sound.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.524,Worry,0.234
,Ugxoq7d55aRhAA3XhDl4AaABAg,jokinboken,3 weeks ago,1.51138E+12,This guy's hubris is off the scale.,0,FALSE,0,,,,,,,/Positive/Fun/,Positive,0.355,Fun,0.229
,UgwqhBIEE9Tx0LQoQFR4AaABAg,Krishan Patel,3 weeks ago,1.51138E+12,Stephen Cloobeck is an asshole.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.434,Surprise,0.726
,UgzbXHNc3F8xdl8-_UZ4AaABAg,Rock Reed,3 weeks ago,1.51138E+12,Will Hillary And Bernie get a tax cut ?,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.437,Surprise,0.597
,Ugy8yjECInyYaIcyIXZ4AaABAg,911LookuptheLavonAffair,3 weeks ago,1.51138E+12,"lol Cenk is acting so indignant now, but a little more than a year ago, he bowed his head and supported this billionaire's candidate (Hillary Clinton) like the obedient little revolutionary he is.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.365,Worry,0.266
,UgwG4w-b3roJsdjB-Wh4AaABAg,Szriko,3 weeks ago,1.51138E+12,"""We should be the party of Doing Well(tm)""But.. You know, if you're a billionaire with hundreds to thousands of stores each with 10-50 employees.. If everyone is Doing Well, who is going to staff your stores? Who is going to do all your fuckin' jobs?",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.394,Worry,0.249
,UgzT5sK5EvzGi0vBRJ14AaABAg,cableaddict,3 weeks ago,1.51138E+12,"Stephen Cloobeck's jacket appears to be slowly swallowing his head.Let's hope it progresses quickly.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.388,Worry,0.28
,UgzvbMFQUeRm8vUeB-d4AaABAg,ari1234a,3 weeks ago,1.51138E+12,American people got screwed because they vote Republicans... News at eleven.,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.53,Hate,0.234
,Ugy8lryvP706Bzj4It94AaABAg,Captain Candor,3 weeks ago,1.51138E+12,Cenk is by far the best of the Young Turks keep fighting these rich donors who bribe or leaders,0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.369,Anger,0.233
,UgwHUAJgoRiQOvmXUhB4AaABAg,Jimmy Estrada,3 weeks ago,1.51138E+12,"You're reward for becoming successful is fortune and lavish life style you can live not free money and exempted law. For you cynics, I know they do but logical they shouldn't.",0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.377,Anger,0.26
,UgyZoM6cH5mHWqwUFoF4AaABAg,Rennie Foster,3 weeks ago,1.51138E+12,partisanism sucks,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.946,Hate,0.33
,UgyRKoRe6EXuLC7v2DB4AaABAg,tlwolf86,3 weeks ago,1.51138E+12,"Publicly financed campaigns.  Hilarious!  Remember who ran a publicly financed campaign?  John McCain in 2008.  Barack Obama got McCain to agree to public financing.  As soon as McCain signed up, Barack reneged on the deal.  Obama's 2008 campaign cost more than the combined Bush and Gore campaigns of 2004.  Barack's 2008 campaign was by far the most expensive campaign in history up to that point.  In 2012 Barack shattered his own record with a campaign that cost over a Billion dollars.",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.41,Surprise,0.598
,UgzAA5zme-H7l6Gt-4Z4AaABAg,Elbert Derf,3 weeks ago,1.51138E+12,those are real 'piggy eyes'.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.335,Surprise,0.739
,Ugzuk9zcOxl6OSQWVad4AaABAg,theycallmemrshaggs,3 weeks ago,1.51138E+12,Stories like this are the only reason I still watch TYT.  The cringe is REAL on every other SJW-drenched video...,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.426,Worry,0.232
,UgzPLZX0S2A6-GjKr2N4AaABAg,Ariel Mckenzie,3 weeks ago,1.51138E+12,"The audacity, he�۪s so brazen about it.",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.355,Surprise,0.832
,Ugy19cHWC92UnnvMMr94AaABAg,Greek forever,3 weeks ago,1.51138E+12,"American dream??? HILARIOUS! THIS is what the US is known for all around the globe, GREED! What is it to be proud of? Classless fucks",0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.422,Anger,0.246
,UgxTqPfjwvLGB3d8PA54AaABAg,Yah Noah Kin,3 weeks ago,1.51138E+12,Your argument is hypocritical you admit that Congress works for Wall Street. Democrats or Republicans Wall Street still gets its way.,0,FALSE,0,,,,,,,/Positive/Enthusiasm/,Positive,0.365,Enthusiasm,0.305
,Ugz_4mSydog4Ltc7QqB4AaABAg,bakenfat,3 weeks ago,1.51138E+12,Preach!!,0,FALSE,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,Ugy-vUg9c__zvE8H1Vh4AaABAg,Ben Marcus,3 weeks ago,1.51138E+12,Stephen didn't say anything about tax cuts the entire time. It just sounded like he was frustrated that some on the left just assume that all millionaires and billionaires are bad people and should be punished. Could this all be a misunderstanding?,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.638,Hate,0.238
,UgxGeIPEgNkHBKwoYnN4AaABAg,WWZenaDo,3 weeks ago,1.51138E+12,"These fool billionaires & multi-millionaires need to be reminded of historical examples of what happens to insanely greedy people.  Perhaps someone should point out 'Madame Guillotine' & her reign, to them...",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.54,Worry,0.249
,Ugw_CJn899UJxpJMtMF4AaABAg,red Baron,3 weeks ago,1.51138E+12,For a millionaire doesn't seem like a smart well educated man,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.427,Worry,0.248
,UgzP1BlRDL26FV3ffvx4AaABAg,Nexiro,3 weeks ago,1.51138E+12,"""Both parties are doing the exact same thing! But one party is doing it exactly the same harder!""",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.403,Worry,0.28
,UgxbuQgKyf8ylyQgxZN4AaABAg,Neptune is Beautiful,3 weeks ago,1.51138E+12,Stephen Cloobeck is a scumbag...,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.557,Worry,0.248
,UgzNojaTH8JShQVEPXh4AaABAg,Tom Ford,3 weeks ago,1.51138E+12,"Public Service Announcement: This guy is also a scammer as a businessman. He inherited a shit ton of properties from his father. When Diamond Resorts International sells timeshares, they tell you that maintenance fees will be minimal. What you end up getting instead are $1500/year in ""fees"" to use a small one bedroom hotel room with a pullout couch for a week. Those ""fees"" are on top of the money you already spent to purchase the timeshare. And if you try to walk away (i.e. just give them back the timeshare so you can avoid the fees), they won't let you under normal circumstances. It's like owning something with negative value, very difficult to get rid of. This guy is just a horrible piece of shit. The reason he wants to bribe politicians is so he can continue to get away with bullshit like that.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.556,Hate,0.281
,UgzYDdW0mP9Kw3is1b94AaABAg,Sam Burns,3 weeks ago,1.51138E+12,The nerve on this donor parasite.,0,FALSE,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.347,Empty tweets / Garbage / No sentiments,0.523
,UgzW4PjIzt_y-f_znYJ4AaABAg,Secular Progressive,3 weeks ago,1.51138E+12,The donors are a parasite on the Democratic party,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.442,Worry,0.246
,Ugx9ZPxZkXkypLT-lNp4AaABAg,Heyho Brando,3 weeks ago,1.51138E+12,"that's reported kinda sounded like my old middle school bully yes men.""You know what im going to do?""""What are you going to do sir?!""",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.469,Surprise,0.601
,Ugw43grgUO7mZrq75OJ4AaABAg,Milan Thapa,3 weeks ago,1.51138E+12,"This amoral millionaire is more like a republican, he should just go there. Atleast millionaire who care about environment are okay.",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.364,Surprise,0.735
,Ugxx9lW7-8G1ImhN-1B4AaABAg,SolidWolfG,3 weeks ago,1.51138E+12,That guy looks like he's gonna have a heart attack! Give him an inhaler.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.428,Worry,0.248
,UgyEmY3vrEH3UnxR4FF4AaABAg,Colin Sherritt,3 weeks ago,1.51138E+12,Dude looks like a complete hustler.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.387,Worry,0.249
,UgzVsNzwoLfs1eW2Bjx4AaABAg,hades angelos,3 weeks ago,1.51138E+12,"The Republican party and the Democratic party are synonymous, they're both completely corrupt, they both take payouts, the only major difference is the Republican party doesn't hide their interests whereas the Democratic party has turned out to be exceedingly more deceptive, lying, manipulative and conniving Party by far.",1,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.484,Worry,0.257
,UgxPgo-aoJ9n0KsUhBV4AaABAg,dung tran,3 weeks ago,1.51138E+12,"What's wrong with bribery? I basically show up to work everyday just so I can be ""bribed"" every 2 weeks.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.377,Worry,0.261
,UgyanxjWM0nJUs91HN14AaABAg,RadioLaPrincess,3 weeks ago,1.51138E+12,Is it just me or does Cloobeck look like a Cabbage Patch Kid?,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.474,Worry,0.27
,UgzAS_QZcbobyb_Ldjl4AaABAg,NATAS 23,3 weeks ago,1.51138E+12,THESE FUCKERS DONT CARE ABOUT AMERICA AND YOU ARE A FOOL IF U THINK THEY GIVE TWO SHITS ABOUT US,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.6,Worry,0.234
,UgzoIiHzE34Pr1fir3R4AaABAg,Alysuis,3 weeks ago,1.51138E+12,maybe he can use some of the money hes saves to buy a neck.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.453,Surprise,0.517
,UgzUfipID16Ruh-6LRh4AaABAg,Fukai Kokoro,3 weeks ago,1.51138E+12,"We need to get money OUT OF POLITICS. He mentioned he talked to Ron Wyden. That is a bummer because I had respect for Wyden for his work targeting the NSA and voting to not go top war in Iraq. We at the VERY least  need to ban donations from out of state donors. And Should make it so these donors can only ""donate"" within their state. Or better yet ban money from politics.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.581,Worry,0.247
,UgwODkLBeprEuyg55ON4AaABAg,Simon 's,3 weeks ago,1.51138E+12,"What we should be doing Trump voters, is coming together and shutting these parties down. Next time use your vote responsible and make America great again, that means you have to get out of your comfort zone and join the real fight.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.433,Worry,0.249
,UgyRCmQBX0GTd5TFuGd4AaABAg,ReStructure/Disco Video Mix7,3 weeks ago,1.51138E+12,S-K-A-N-K-S! This dude needs to be sent to Russia with trump!,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.407,Worry,0.244
,UgxgEXP6lhPt_aQljgV4AaABAg,CastleBravo_,3 weeks ago,1.51138E+12,"Fine, we'll  start replacing MIllionaire and Billionaire with Scumbag and Asshole.",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.467,Surprise,0.519
,UgzVmUfmpiR-QOCaoSR4AaABAg,liveloveburndye,3 weeks ago,1.51138E+12,CENK please run for something.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.454,Worry,0.265
,UgxSNosquZj7FrxyHj54AaABAg,MagniGames,4 weeks ago,1.51077E+12,Homie looks like alex jones...,0,FALSE,0,,,,,,,/Positive/Happiness/,Positive,0.359,Happiness,0.228
,Ugw89kGvlgYhhsFfR8N4AaABAg,D̦ner Ali,4 weeks ago,1.51077E+12,Hahahahaha thisnguy talking really think that something will change.. stupid,0,FALSE,0,,,,,,,/Negative/Boredom/,Negative,0.512,Boredom,0.27
,UgxddKRLfhbTfaQZk3t4AaABAg,Danny Van Hecke,4 weeks ago,1.51077E+12,What a pig.. I'm surprised such people can walk around without getting punched in the face all the time.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.472,Surprise,0.913
,UgxorEZrLP9zfPX7Bd94AaABAg,PF,4 weeks ago,1.51077E+12,To the gallows gentlemen!!!,0,FALSE,0,,,,,,,/Positive/Happiness/,Positive,0.59,Happiness,0.312
,Ugy9QneC3O7lLiU4XeR4AaABAg,Info Illness,4 weeks ago,1.51077E+12,MAGA - Millionaires Against Greater America.,0,FALSE,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.422,Empty tweets / Garbage / No sentiments,0.58
,Ugwnz7EATZd9wfmhnI54AaABAg,Jimminy Lummox,4 weeks ago,1.51077E+12,"I'm honestly beginning to arrive at the position where I'm thinking we need to form mobs and kill these people. I'm serious, no amount of talking or voting will fix this now.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.712,Worry,0.254
,Ugx6cAV8jueFFa-jwYd4AaABAg,rsuriyop,4 weeks ago,1.51077E+12,Why did this fool just expose himself and others like him on national TV?,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.421,Hate,0.226
,UgwHqMWfV6Z-KNZYjkB4AaABAg,woodentie,4 weeks ago,1.51077E+12,That guy's got some effin' neck,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.418,Worry,0.243
,UgzaYqG3osfYf1XjQc14AaABAg,Islam is cancer,4 weeks ago,1.51077E+12,"TYT's bullshit stories make more impact on the political views of dumb leftist bigots than money from donors. So if you want to take away the right to donate money, you also need to silence TYT's dumb traps.",1,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.493,Hate,0.238
,UgwsxVUaOqCZq5h1LI94AaABAg,Cynthia Mahoney,4 weeks ago,1.51077E+12,Stephanie Rule on msnbc didn't even question that!? Why did she even have this dude on her show... to empower him more?,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.55,Hate,0.246
,Ugx2tV9IRVDuvRKFj914AaABAg,A Rude Gesture,4 weeks ago,1.51077E+12,"So...if the Democrats go more to the left, the donor's will stop giving them money? I suppose they will then put their money into the Republican party making the Republicans the party of big donor corruption and the Democrats the party that has rid itself of corruption. I fail to see the downside of the Democrats going to the left.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.626,Worry,0.243
,UgykhZtiEAeQ2p9BgVZ4AaABAg,Josiah Sanchez,4 weeks ago,1.51077E+12,Cenk's cussing always sounds so contrived.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.363,Surprise,0.56
,UgxwFpD-66Og2-1OVQ94AaABAg,"Dami��n ""el Salsuero""",4 weeks ago,1.51077E+12,"We don't need your money No-Cloobeck!  We need Democrats who support the majority, not the moneybags.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.638,Worry,0.24
,UgzRtSIJyCC8yOmdKqt4AaABAg,Richard D,4 weeks ago,1.51077E+12,"There it is folks, there it is.  Get out and vote for real progressives that's the only way this is ever going to change.",0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.409,Surprise,0.674
,UgxsBQooT4aqkYWg3Rd4AaABAg,Slamz Dunk,4 weeks ago,1.51077E+12,Cenk is lit.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.413,Surprise,0.715
,UgxCmyRgwMl-fSjS9Ex4AaABAg,Alicia Mitchell,4 weeks ago,1.51077E+12,I question his motives for telling the voters that these specific Dems work for him and not the voters. Now they'll definitely loose the next election with or without his money.,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.667,Worry,0.236
,Ugwbj3aZoZKx8wDTpAh4AaABAg,Daphene White,4 weeks ago,1.51077E+12,"Personally I'm waiting for us to revolt like most Third World countries. NOW that all the countries wealth is hidden off shore in tax havens. So how does a country meet it's financial obligations? Ok, Congress and Staffers you need salaries and Health Care, Military, Civil Servants ( All the Agencies under the government). Ohh..don't forget all the countries that we hire Foreign Nationals that work for American Interest. What about all that Real Estate that the Military uses (Leases) here and abroad? Especially lets look at the Navy and the overseas ports that resupply them with food, goods and fuel and sometimes housing on those installations. A number of agencies uses technologies that are sometimes light years beyond what the public knows about, so who pays for all this Research and Development? Ok Congress...you are elected to be gatekeepers of the Public's Trust, but you in turn have become worst than the Bubonic plague, a disease bought on by Super Rich Hoarders(Kings/Lords/Nobels) and when those SEVEN HORSEMEN OF THE APOCALYPSE come for YOU, YOUR FAMILY and RELATIVES, DON'T EXPECT TO BE SPARED. YOU...YES YOU ARE RESPONSIBLE.IT WAS YOUR...YOUR JOB AND YOU FAILED MISERABLY.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.442,Hate,0.242
,UgwEfXTlQVescFIawDB4AaABAg,Stunami,4 weeks ago,1.51077E+12,"Cenk is pissed! Jimmy Dore rubbing off. Nice. Keep it up. It's this courageous anger that pays off in the fight, not being all nice and civil about it. Call out the BULLSHIT.",0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.482,Anger,0.252
,UgzuJkxvPBBIKs7IDUR4AaABAg,Augustus Johnston,4 weeks ago,1.51077E+12,I can�۪t believe he went on national television and admitted that.  They used to try to hide it.,2,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.422,Surprise,0.807
,Ugyg_B_AoRlJH_e2Fml4AaABAg,Augustus Johnston,4 weeks ago,1.51077E+12,"We need to form a new party or vote Green, enough is enough.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.442,Worry,0.266
,Ugz2Cgvll_b98YTEgqZ4AaABAg,Daphene White,4 weeks ago,1.51077E+12,"He is a major piece of shit. One of his businesses, The Apollo Group is a timeshare model in which families are stuck with something they cannot sell or get out of. Like most $Billion/Millionaires they all are able to get where they are today by screwing the little guy.",0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.74,Hate,0.235
,UgweD1_H1XM19Mr8Hjp4AaABAg,Gregory Wonderwheel,4 weeks ago,1.51077E+12,Have Rachel Maddow or Chris Hayes asked Chuck Schumer about the phone calls from Cloobeck and why they are giving signals to the billionaires like him?  I doubt it.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.458,Surprise,0.668
,UgzhzenDcQBQH_Yvanp4AaABAg,brujaja Aknot Wrought,4 weeks ago,1.51077E+12,"OMG, the appalling attitude of that one guy...""What, penalize everyone who's done well?"" Paying taxes is not a penalty, it's an obligation we all have.  Greedy people make me sick.",0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.581,Worry,0.23
,Ugzsa66OXxk2_3Epct14AaABAg,carschmn,4 weeks ago,1.51077E+12,Don�۪t let the door hit you when you leave.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.506,Surprise,0.509
,Ugzszg33OZuYxiMCMqJ4AaABAg,T.J.,4 weeks ago,1.51077E+12,Bye Felicia!,0,FALSE,0,,,,,,,/Positive/Fun/,Positive,0.368,Fun,0.276
,Ugwo6DOybZC8yENIQFV4AaABAg,SuperBlahmaster,4 weeks ago,1.51077E+12,I'm an Oregonian and Ron Wyden needs to go.,0,FALSE,0,,,,,,,/Neutral/Surprise/,Neutral,0.428,Surprise,0.534
